,Screen Name,Date,Tweet Text,Compound,Positive,Negative,Neutral,Tweets Ago
0,BBC,Mon Apr 09 18:04:06 +0000 2018,"When doctors found a large tumour on little Poppy’s brain, her parents faced one of the toughest decisions of their… https://t.co/bJp258jCaL",-0.077,0.0,0.064,0.936,2
1,BBC,Mon Apr 09 17:02:07 +0000 2018,"Keep full and satisfied with these protein-filled, vegetarian dinners. 
Make double portions and save for lunch tom… https://t.co/yh3RGeC5i3",0.718,0.273,0.0,0.727,3
2,BBC,Mon Apr 09 16:43:45 +0000 2018,"RT @BBCScotland: The history behind #NationalUnicornDay ?

*may not be factually accurate* https://t.co/p44XmIXnoM",0.0,0.0,0.0,1.0,4
3,BBC,Mon Apr 09 16:34:07 +0000 2018,RT @BBCTwo: Can you guess the city? #TheCityAndTheCity’s @davemorrissey64 and @MandiDhillon tried our game out for size… ??? https://t.co/U…,0.0,0.0,0.0,1.0,5
4,BBC,Mon Apr 09 16:26:04 +0000 2018,"The latest episode of @TheSimpsons has addressed controversy surrounding Indian character Apu for the first time.
?… https://t.co/guqD0Pf53R",0.0,0.0,0.0,1.0,6
5,BBC,Mon Apr 09 16:04:04 +0000 2018,?????? What a brilliant idea! https://t.co/QUVCwBptOU,0.624,0.506,0.0,0.494,7
6,BBC,Mon Apr 09 15:42:30 +0000 2018,RT @BBCTheOneShow: Tonight on The One Show - @kylieminogue! ????? RT: if you're excited. #TheOneShow #KylieMinogue #Kylie https://t.co/Yten…,0.4,0.144,0.0,0.856,8
7,BBC,Mon Apr 09 15:29:26 +0000 2018,"RT @BBCSport: What a way to save match point!

Table tennis is pure carnage.

#GC2018 #bbcgoldcoast https://t.co/1shVrSJuRn",0.541,0.189,0.0,0.811,9
8,BBC,Mon Apr 09 15:07:08 +0000 2018,"????
Henry and Baloo: Dog and cat travel companions gain cult following.
? https://t.co/rTpxqa69Oq https://t.co/iRkQXMwnyv",0.527,0.207,0.0,0.793,10
9,BBC,Mon Apr 09 14:02:03 +0000 2018,"A new campaign is encouraging people to do CPR to the tune of @The_Proclaimers' hit 'I'm Gonna Be (500 miles)'.
?… https://t.co/MULW1tgRPL",0.527,0.145,0.0,0.855,11
10,BBC,Mon Apr 09 13:01:05 +0000 2018,"How NOT to impress Madonna...
#TheGrahamNortonShow #TGNS https://t.co/NnYS15sU9p",0.44,0.293,0.0,0.707,12
11,BBC,Mon Apr 09 12:31:27 +0000 2018,RT @bbccomedy: Philomena Cunk steps on board the first ship to circumcise the globe. #CunkOnBritain @missdianemorgan https://t.co/f1oHsolPHe,0.0,0.0,0.0,1.0,13
12,BBC,Mon Apr 09 12:28:16 +0000 2018,"?? Over 1,500 people turned up to this mass sausage dog walk in Manchester yesterday. https://t.co/6fscMy6eZ7",0.0,0.0,0.0,1.0,14
13,BBC,Mon Apr 09 12:14:30 +0000 2018,"RT @bbcsoutheast: You don't have to be married to take part in ""wife-carrying"". Fancy giving it a go? #Dorking #wifecarrying #wifecarryingu…",0.34,0.112,0.0,0.888,15
14,BBC,Mon Apr 09 12:12:54 +0000 2018,"RT @BBCnireland: As the days get longer, here are some #TightShorts tips on creating that naturally flawless, 'don't get seen, blend into t…",0.67,0.208,0.0,0.792,16
15,BBC,Mon Apr 09 12:02:02 +0000 2018,Flipping the script on dyslexia. https://t.co/rW1FLygX9V,0.0,0.0,0.0,1.0,17
16,BBC,Mon Apr 09 11:50:07 +0000 2018,"RT @bbcthesocial: This is how homophobia feels in 2018.

#TimeForLove https://t.co/dHfsvt94Nz",0.0,0.0,0.0,1.0,18
17,BBC,Mon Apr 09 11:27:01 +0000 2018,RT @BBCFOUR: How do you cope with stage fright when you're working at music's top level? Listen to the new #BBCYoungMusician podcast with @…,-0.202,0.068,0.098,0.833,19
18,BBC,Mon Apr 09 11:16:03 +0000 2018,"Love hurts, but this is a step too far...

? People are getting finger piercings instead of engagement rings.
?… https://t.co/eargluPvnC",0.676,0.268,0.083,0.649,20
19,BBC,Mon Apr 09 10:41:24 +0000 2018,"?? When the weather is so cold that you can't bear to get up. 
#MondayMorning https://t.co/JhfqRhL5fQ",0.0,0.0,0.0,1.0,21
20,BBC,Mon Apr 09 18:04:06 +0000 2018,"When doctors found a large tumour on little Poppy’s brain, her parents faced one of the toughest decisions of their… https://t.co/bJp258jCaL",-0.077,0.0,0.064,0.936,22
21,BBC,Mon Apr 09 17:02:07 +0000 2018,"Keep full and satisfied with these protein-filled, vegetarian dinners. 
Make double portions and save for lunch tom… https://t.co/yh3RGeC5i3",0.718,0.273,0.0,0.727,23
22,BBC,Mon Apr 09 16:43:45 +0000 2018,"RT @BBCScotland: The history behind #NationalUnicornDay ?

*may not be factually accurate* https://t.co/p44XmIXnoM",0.0,0.0,0.0,1.0,24
23,BBC,Mon Apr 09 16:34:07 +0000 2018,RT @BBCTwo: Can you guess the city? #TheCityAndTheCity’s @davemorrissey64 and @MandiDhillon tried our game out for size… ??? https://t.co/U…,0.0,0.0,0.0,1.0,25
24,BBC,Mon Apr 09 16:26:04 +0000 2018,"The latest episode of @TheSimpsons has addressed controversy surrounding Indian character Apu for the first time.
?… https://t.co/guqD0Pf53R",0.0,0.0,0.0,1.0,26
25,BBC,Mon Apr 09 16:04:04 +0000 2018,?????? What a brilliant idea! https://t.co/QUVCwBptOU,0.624,0.506,0.0,0.494,27
26,BBC,Mon Apr 09 15:42:30 +0000 2018,RT @BBCTheOneShow: Tonight on The One Show - @kylieminogue! ????? RT: if you're excited. #TheOneShow #KylieMinogue #Kylie https://t.co/Yten…,0.4,0.144,0.0,0.856,28
